,file_name,multiplicity
133,low/C=[C]C+CCCCO_C=CC+C[CH]CCO.xyz,2
134,low/CO+CCO[O]_[CH2]O+CCOO.xyz,2
135,low/C=[C]C+CC(C)CO_C=CC+CC(C)C[O].xyz,2
136,low/[CH2]C=C+CC(C)C_C=CC+[CH2]C(C)C.xyz,2
137,med/[O]+CCCCC=C(C)C_[OH]+CCCC[C]=C(C)C.xyz,3
138,low/C=C(C)CO+C[C]=O_[CH2]C(=C)CO+CC=O.xyz,2
139,low/CCC=O+C=C[CH]C_CC[C]=O+C=CCC.xyz,2
140,low/C[CH]CC+CCC(C)O_CCCC+C[CH]C(C)O.xyz,2
141,low/CC(C)O[O]+CCC_CC(C)OO+[CH2]CC.xyz,2
142,high/[CH2]C(C)C+OO_CC(C)C+[O]O.xyz,2
143,low/C[C](C)C+CCC=O_CC(C)C+[CH2]CC=O.xyz,2
144,low/[CH]=C+CCC_C=C+C[CH]C.xyz,2
145,low/CCCC+CC(=O)O[O]_C[CH]CC+CC(=O)OO.xyz,2
146,low/C[CH2]+CCC_CC+C[CH]C.xyz,2
147,low/[C]#C+CC_C#C+C[CH2].xyz,2
148,low/[O]OC=O+C=CCC_O=COO+C=C[CH]C.xyz,2
149,med/[H]+Cc1ccc(C)cc1_[H][H]+[CH2]c1ccc(C)cc1.xyz,2
150,low/C[CH]CC+C=CC=C_CCCC+[CH]=CC=C.xyz,2
151,med/[H]+CCCCCC1CCC(C)O1_[CH2]C1CCC(CCCCC)O1+[H][H].xyz,2
152,med/[H]+CC=CCCC(C)C_CC=CCC[C](C)C+[H][H].xyz,2
153,high/C=CC+[O]O_[CH]=CC+OO.xyz,2
154,low/CO+[C]#C_[CH2]O+C#C.xyz,2
155,low/C=C(C)C=O+[CH3]_C=C(C)[C]=O+C.xyz,2
156,low/C[CH]CC+CCC_CCCC+C[CH]C.xyz,2
157,low/C=[C]C+CC(C)CO_C=CC+[CH2]C(C)CO.xyz,2
158,low/CC#CC+[O]_[OH]+[CH2]C#CC.xyz,3
159,low/[CH]=C+CCO_C=C+C[CH]O.xyz,2
160,med/[H]+C=CC(C)=CCCC(=C)C_[H][H]+C=[C]C(C)=CCCC(=C)C.xyz,2
161,med/CCCC[C]=C(C)C+OO_[O]O+CCCCC=C(C)C.xyz,2
162,low/C#C[CH2]+[CH]=O_C#CC+[C]=O.xyz,3
163,low/CCCCO+[H]_CCC[CH]O+[H][H].xyz,2
164,low/CC=O+[H]_C[C]=O+[H][H].xyz,2
165,med/[O]O+C[CH]CCCC1CCC(C)O1_[O][O]+CCCCCC1CCC(C)O1.xyz,3
166,low/C=C(C)CO+[CH3]_[CH2]C(=C)CO+C.xyz,2
167,med/[O]O+CC1=CCC2CC1C2(C)C_CC1=CC[C]2CC1C2(C)C+OO.xyz,2
168,low/[CH2]C(C)C+CCCCO_CC(C)C+C[CH]CCO.xyz,2
169,low/CCC(C)O+[CH2]O_[CH2]C(O)CC+CO.xyz,2
170,low/CCO[O]+CC(C)CO_CCOO+CC(C)C[O].xyz,2
171,low/C[CH]C+CCC(C)O_CCC+CC[C](C)O.xyz,2
172,med/[O]+CCC(C)CC(C)C_[OH]+CCC(C)C[C](C)C.xyz,3
173,low/C#CC=C+[OH]_[CH]=CC#C+O.xyz,2
174,med/[O]O+[CH2]C(C)(C)OC(CO)COC(C)(C)C_[O][O]+CC(C)(C)OCC(CO)OC(C)(C)C.xyz,3
175,low/[CH]=C=O+CCCCO_C=C=O+C[CH]CCO.xyz,2
176,low/[CH2]CC=C+C=C_C=CCC+[CH]=C.xyz,2
177,low/[CH2]C(=C)C+CC(C)C_C=C(C)C+[CH2]C(C)C.xyz,2
178,low/[O]OC=O+C=CC_O=COO+[CH]=CC.xyz,2
179,low/CCC(C)O+C[O]_[CH2]CC(C)O+CO.xyz,2
180,med/[H]+CCCC=CC(C)C_CCC[C]=CC(C)C+[H][H].xyz,2
181,low/[CH2]C(C)C+COO_CC(C)C+CO[O].xyz,2
182,med/[CH3]+CCC(C)CC(C)C_C+[CH2]C(CC)CC(C)C.xyz,2
183,high/[CH3]+OO_C+[O]O.xyz,2
184,low/CCCO[O]+C#CC_CCCOO+C#C[CH2].xyz,2
185,low/CC=O+[CH]=O_C[C]=O+C=O.xyz,2
186,low/[CH2]C(C)=O+C=CC_CC(C)=O+[CH2]C=C.xyz,2
187,low/[CH]=C+CC(C)(C)O_C=C+CC(C)(C)[O].xyz,2
188,low/CC(=O)O[O]+COC_CC(=O)OO+[CH2]OC.xyz,2
189,low/CCC+C[C]=O_C[CH]C+CC=O.xyz,2
190,med/[O]O+[CH2]CC(C)(C)O_[O][O]+CCC(C)(C)O.xyz,3
191,high/C#C[CH2]+[O]O_C#CC+[O][O].xyz,3
192,low/C[CH]CC+CCO_CCCC+C[CH]O.xyz,2
193,low/C=CCC+[CH2]C=C_C=C[CH]C+C=CC.xyz,2
194,low/CCC(C)O+[O]_CC[C](C)O+[OH].xyz,3
195,low/[CH2]C(C)=O+CCCCO_CC(C)=O+[CH2]CCCO.xyz,2
196,low/CCCC+CC[O]_[CH2]CCC+CCO.xyz,2
197,med/[OH]+CC1CCCC1_CC1C[CH]CC1+O.xyz,2
198,high/CC(C)CO[O]+[O]O_CC(C)COO+[O][O].xyz,3
199,low/[O]OC=O+C=CC=C_O=COO+[CH]=CC=C.xyz,2
200,low/CCC=O+[CH]=O_CC[C]=O+C=O.xyz,2
201,med/[H]+C=CC(C)=CCCC(=C)C_[H][H]+[CH]=CC(C)=CCCC(=C)C.xyz,2
202,med/[O]O+CC1=CCC2[CH]C1C2(C)C_[O][O]+CC1=CCC2CC1C2(C)C.xyz,3
203,low/C=C=CC+[CH2]C=C_[CH2]C=C=C+C=CC.xyz,2
204,high/O=CCO+[O]O_O=[C]CO+OO.xyz,2
205,low/[CH]=O+[CH3]_C+[C]=O.xyz,3
206,low/C=[C]C+C=C_C=CC+[CH]=C.xyz,2
207,low/[CH2]C(C)C+COC_CC(C)C+[CH2]OC.xyz,2
208,med/[H]+CCCC=CC(C)C_CCCC=[C]C(C)C+[H][H].xyz,2
209,low/CO[O]+CCC_COO+C[CH]C.xyz,2
210,low/C=C[CH]C+CC(C)CO_C=CCC+CC(C)[CH]O.xyz,2
211,high/[CH]=C+OO_C=C+[O]O.xyz,2
212,high/C=[C]C=C+[O]O_C=CC=C+[O][O].xyz,3
213,low/C=C[CH]C+CCCCO_C=CCC+CC[CH]CO.xyz,2
214,med/[O]O+CC(C)(C)O[CH]C(CO)OC(C)(C)C_[O][O]+CC(C)(C)OCC(CO)OC(C)(C)C.xyz,3
215,low/CCCC=O+[CH3]_[CH2]CCC=O+C.xyz,2
216,med/[H]+CCCCCC1CCC(C)O1_CCCCCC1CC[C](C)O1+[H][H].xyz,2
217,low/C[CH]C+COO_CCC+CO[O].xyz,2
218,med/[CH3]+CCC(C)CC(C)C_C+[CH2]C(C)CC(C)CC.xyz,2
219,med/[O]O+[CH2]CCCC(C)CC_[O][O]+CCCCC(C)CC.xyz,3
220,low/[CH]=CC+CC_C=CC+C[CH2].xyz,2
221,high/CCC+[O]O_C[CH]C+OO.xyz,2
222,low/C[CH2]+CO_CC+[CH2]O.xyz,2
223,low/CCC(C)O+[CH3]_CCC(C)[O]+C.xyz,2
224,low/CC(C)C=O+[O]_CC(C)[C]=O+[OH].xyz,3
225,low/[CH]=C=O+C=C(C)C_C=C=O+[CH2]C(=C)C.xyz,2
226,low/[CH2]CC=C+CCO_C=CCC+[CH2]CO.xyz,2
227,low/CCCCO+[CH2]O_CCC[CH]O+CO.xyz,2
228,med/[O]O+[CH2]C(C)CCOC(C)=O_[O][O]+CC(=O)OCCC(C)C.xyz,3
229,med/[OH]+CCCCCC1CCC(C)O1_CCCCCC1C[CH]C(C)O1+O.xyz,2
230,low/[CH2]CC+C=C(C)C_CCC+[CH2]C(=C)C.xyz,2
231,low/[CH2]C(C)C+CC(C)(C)O_CC(C)C+CC(C)(C)[O].xyz,2
232,low/CC=C=O+[O][O]_[CH2]C=C=O+[O]O.xyz,3
233,low/CCC(C)O+[O]_[CH2]C(O)CC+[OH].xyz,3
234,med/[OH]+CCOC(=O)C(C)C_[CH2]COC(=O)C(C)C+O.xyz,2
235,med/[H]+CCC(C)(C)O_C[CH]C(C)(C)O+[H][H].xyz,2
236,med/[OH]+CCC(C)CC(C)C_O+[CH2]C(C)CC(C)CC.xyz,2
237,high/CCO[O]+OO_CCOO+[O]O.xyz,2
238,low/CCC(C)O+C[CH2]_[CH2]CC(C)O+CC.xyz,2
239,med/[OH]+CCCCCC1CCC(C)O1_[CH2]C1CCC(CCCCC)O1+O.xyz,2
240,low/CC(C)O[O]+CCCC_CC(C)OO+C[CH]CC.xyz,2
241,low/[CH]=O+C=C=O_C=O+[CH]=C=O.xyz,2
242,low/[CH2]CC=C+CCC_C=CCC+C[CH]C.xyz,2
243,med/[H]+CCC(CC)OC(C)C_[H][H]+CCC(CC)O[C](C)C.xyz,2
244,low/C=CC=C+C=C[CH]C_C=[C]C=C+C=CCC.xyz,2
245,low/C[C](C)C+CCCC_CC(C)C+[CH2]CCC.xyz,2
246,high/OO+CC(=O)O[O]_[O]O+CC(=O)OO.xyz,2
247,low/[CH2]O+C#C_CO+[C]#C.xyz,2
248,med/[CH3]+CC(C)(C)OCC(CO)OC(C)(C)C_[CH2]C(C)(C)OCC(CO)OC(C)(C)C+C.xyz,2
249,med/[OH]+CC(=O)C(C)CC(C)C_O+[CH2]C(C)CC(C)C(C)=O.xyz,2
250,low/[CH]=C+C#C_C=C+[C]#C.xyz,2
251,low/C=[C]C+CCCC_C=CC+[CH2]CCC.xyz,2
252,low/[CH2]C=O+O_CC=O+[OH].xyz,2
253,low/CCC+[CH2]O_[CH2]CC+CO.xyz,2
254,low/C=CCC+[O][O]_[CH]=CCC+[O]O.xyz,3
255,low/C=C[CH]C+C#CC=C_C=CCC+[CH]=CC#C.xyz,2
256,low/CCCC+[O]OC=O_[CH2]CCC+O=COO.xyz,2
257,low/C[CH]CC+CCC(C)O_CCCC+[CH2]CC(C)O.xyz,2
258,low/CC(=O)O[O]+C#CC=C_CC(=O)OO+[CH]=CC#C.xyz,2
259,low/[CH2]CCC+CC=O_CCCC+C[C]=O.xyz,2
260,low/[CH]=C=O+C=CCC_C=C=O+C=C[CH]C.xyz,2
261,med/[O]+CC=CCCC(C)C_[OH]+C[C]=CCCC(C)C.xyz,3
262,med/[OH]+CCCCC(C)CC_O+CCC[CH]C(C)CC.xyz,2
263,low/CCCCO+[O][O]_[O]O+CC[CH]CO.xyz,3
264,low/C=C[CH]C+CCC(C)O_C=CCC+[CH2]CC(C)O.xyz,2
265,low/C=CC+[CH]=C_[CH]=CC+C=C.xyz,2
266,low/CC(=O)O[O]+CO_CC(=O)OO+[CH2]O.xyz,2
267,low/C=[C]C+CCCCO_C=CC+CC[CH]CO.xyz,2
268,low/C=CCC+[OH]_C=C[CH]C+O.xyz,2
269,low/[CH]=O+CC(C)C_C=O+C[C](C)C.xyz,2
270,low/[CH2]CC=C+CC(C)(C)O_C=CCC+[CH2]C(C)(C)O.xyz,2
271,low/[CH2]C=O+C=C=O_CC=O+[CH]=C=O.xyz,2
272,low/[CH2]C(C)C+C=C(C)C_CC(C)C+[CH2]C(=C)C.xyz,2
273,low/[CH2]C=C+CC(C)(C)O_C=CC+[CH2]C(C)(C)O.xyz,2
274,high/[O]O+COO_OO+CO[O].xyz,2
275,low/C=[C]C+CCC(C)O_C=CC+CCC(C)[O].xyz,2
276,low/O=CCO+[H]_O=[C]CO+[H][H].xyz,2
277,low/[CH2]C=O+CCC_CC=O+C[CH]C.xyz,2
278,med/C=[C]CCCC(C)C+OO_[O]O+C=CCCCC(C)C.xyz,2
279,low/[CH2]CC+CCCCO_CCC+CCCC[O].xyz,2
280,low/[CH2]CCC+C=C(C)C_CCCC+[CH2]C(=C)C.xyz,2
281,low/CC(C)(C)O+[CH2]O_[CH2]C(C)(C)O+CO.xyz,2
